catalogNumber,acceptedNameUsage,acceptedNameUsageID,sex,recordLevel,traitName,measurementType,measurementTypeID,measurementRemarks,measurementValue,measurementUnit
LACM ENT 602566,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,female,individual,body size,costal vein length,NA,NA,7.07,millimeters
LACM ENT 602694,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,female,individual,body size,costal vein length,NA,NA,7.27,millimeters
LACM ENT 602591,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,female,individual,body size,costal vein length,NA,NA,7.02,millimeters
LACM ENT 601688,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,female,individual,body size,costal vein length,NA,NA,7.12,millimeters
LACM ENT 602559,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,female,individual,body size,costal vein length,NA,NA,6.78,millimeters
LACM ENT 602516,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,female,individual,body size,costal vein length,NA,NA,6.56,millimeters
LACM ENT 602602,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,female,individual,body size,costal vein length,NA,NA,7.18,millimeters
LACM ENT 601787,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,female,individual,body size,costal vein length,NA,NA,7.35,millimeters
LACM ENT 601860,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,male,individual,body size,costal vein length,NA,NA,7.65,millimeters
LACM ENT 602586,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,male,individual,body size,costal vein length,NA,NA,6.85,millimeters
LACM ENT 601799,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,male,individual,body size,costal vein length,NA,NA,7.16,millimeters
LACM ENT 601873,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,male,individual,body size,costal vein length,NA,NA,7.02,millimeters
LACM ENT 601733,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,male,individual,body size,costal vein length,NA,NA,7.44,millimeters
LACM ENT 601884,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,male,individual,body size,costal vein length,NA,NA,7.09,millimeters
LACM ENT 601502,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,male,individual,body size,costal vein length,NA,NA,7.18,millimeters
LACM ENT 602609,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,male,individual,body size,costal vein length,NA,NA,7.27,millimeters
LACM ENT 601781,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,male,individual,body size,costal vein length,NA,NA,7.43,millimeters
LACM ENT 601829,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,male,individual,body size,costal vein length,NA,NA,7.12,millimeters
LACM ENT 601755,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,male,individual,body size,costal vein length,NA,NA,7.28,millimeters
LACM ENT 602582,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,male,individual,body size,costal vein length,NA,NA,7.34,millimeters
LACM ENT 601804,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,male,individual,body size,costal vein length,NA,NA,7.17,millimeters
LACM ENT 601762,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,male,individual,body size,costal vein length,NA,NA,7.74,millimeters
LACM ENT 601888,"Xylocopa virginica (Linnaeus, 1771)",GBIF:1342324,male,individual,body size,costal vein length,NA,NA,7.34,millimeters
LACM ENT 602482,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602474,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602468,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602477,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602497,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602466,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602521,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602502,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602534,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602484,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602476,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602525,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602552,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601558,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602522,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
UCSB-IZC00009226,"Xylocopa californica subsp. californica Cresson, 1879",NA,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
UCSB-IZC00009199,"Xylocopa californica subsp. californica Cresson, 1879",NA,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
UCSB-IZC00009220,"Xylocopa californica subsp. diamesa Hurd, 1955",GBIF:1342518,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
UCSB-IZC00009229,"Xylocopa californica subsp. diamesa Hurd, 1955",GBIF:1342518,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602487,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602483,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602485,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602499,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602461,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,volume,NA,whole body excluding wings,699.5,cubic millimeters
LACM ENT 602492,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602520,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602527,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601551,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601491,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601528,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602519,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602512,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601454,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601675,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
UCSB-IZC00009217,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
UCSB-IZC00009223,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
UCSB-IZC00009205,"Xylocopa californica subsp. arizonensis Cresson, 1879",GBIF:6252674,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
UCSB-IZC00009211,"Xylocopa californica subsp. diamesa Hurd, 1955",GBIF:1342518,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
UCSB-IZC00009193,"Xylocopa californica subsp. diamesa Hurd, 1955",GBIF:1342518,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602409,"Xylocopa frontalis (Olivier, 1789)",GBIF:1342518,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601555,"Xylocopa frontalis (Olivier, 1789)",GBIF:1342518,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601604,"Xylocopa frontalis (Olivier, 1789)",GBIF:1342518,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602400,"Xylocopa frontalis (Olivier, 1789)",GBIF:1342518,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601468,"Xylocopa frontalis (Olivier, 1789)",GBIF:1342518,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601634,"Xylocopa frontalis (Olivier, 1789)",GBIF:1342518,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601648,"Xylocopa frontalis (Olivier, 1789)",GBIF:1342518,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602375,"Xylocopa frontalis (Olivier, 1789)",GBIF:1342518,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601514,"Xylocopa frontalis (Olivier, 1789)",GBIF:1342518,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602354,"Xylocopa frontalis (Olivier, 1789)",GBIF:1342518,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602355,"Xylocopa frontalis (Olivier, 1789)",GBIF:1342518,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602372,"Xylocopa frontalis (Olivier, 1789)",GBIF:1342518,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602368,"Xylocopa frontalis (Olivier, 1789)",GBIF:1342518,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602363,"Xylocopa frontalis (Olivier, 1789)",GBIF:1342518,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602366,"Xylocopa frontalis (Olivier, 1789)",GBIF:1342518,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601603,"Xylocopa frontalis (Olivier, 1789)",GBIF:1342518,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602402,"Xylocopa frontalis (Olivier, 1789)",GBIF:1342518,female,individual,body size,volume,NA,whole body excluding wings,3118,cubic millimeters
LACM ENT 601512,"Xylocopa frontalis (Olivier, 1789)",GBIF:1342518,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602403,"Xylocopa frontalis (Olivier, 1789)",GBIF:1342518,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602359,"Xylocopa frontalis (Olivier, 1789)",GBIF:1342518,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602370,"Xylocopa frontalis (Olivier, 1789)",GBIF:1342518,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602369,"Xylocopa frontalis (Olivier, 1789)",GBIF:1342518,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602371,"Xylocopa frontalis (Olivier, 1789)",GBIF:1342518,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601550,"Xylocopa inconstans Smith, 1874",GBIF:1342370,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601646,"Xylocopa inconstans Smith, 1874",GBIF:1342370,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601641,"Xylocopa inconstans Smith, 1874",GBIF:1342370,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601520,"Xylocopa inconstans Smith, 1874",GBIF:1342370,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601581,"Xylocopa inconstans Smith, 1874",GBIF:1342370,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601617,"Xylocopa inconstans Smith, 1874",GBIF:1342370,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601601,"Xylocopa inconstans Smith, 1874",GBIF:1342370,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601571,"Xylocopa inconstans Smith, 1874",GBIF:1342370,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601606,"Xylocopa inconstans Smith, 1874",GBIF:1342370,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601486,"Xylocopa inconstans Smith, 1874",GBIF:1342370,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601616,"Xylocopa inconstans Smith, 1874",GBIF:1342370,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601576,"Xylocopa inconstans Smith, 1874",GBIF:1342370,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601546,"Xylocopa inconstans Smith, 1874",GBIF:1342370,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601671,"Xylocopa inconstans Smith, 1874",GBIF:1342370,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602442,"Xylocopa inconstans Smith, 1874",GBIF:1342370,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602459,"Xylocopa inconstans Smith, 1874",GBIF:1342370,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601494,"Xylocopa inconstans Smith, 1874",GBIF:1342370,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602490,"Xylocopa inconstans Smith, 1874",GBIF:1342370,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602500,"Xylocopa inconstans Smith, 1874",GBIF:1342370,female,individual,body size,volume,NA,whole body excluding wings,663.8,cubic millimeters
LACM ENT 602445,"Xylocopa inconstans Smith, 1874",GBIF:1342370,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601497,"Xylocopa latipes (Drury, 1773)",GBIF:1342178,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601674,"Xylocopa latipes (Drury, 1773)",GBIF:1342178,female,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601466,"Xylocopa latipes (Drury, 1773)",GBIF:1342178,female,individual,body size,volume,NA,whole body excluding wings,4614.4,cubic millimeters
LACM ENT 602452,"Xylocopa micans Lepeletier, 1841",GBIF:1342442,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602446,"Xylocopa micans Lepeletier, 1842",GBIF:1342443,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602473,"Xylocopa micans Lepeletier, 1843",GBIF:1342444,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602455,"Xylocopa micans Lepeletier, 1844",GBIF:1342445,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602493,"Xylocopa micans Lepeletier, 1845",GBIF:1342446,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 601451,"Xylocopa micans Lepeletier, 1846",GBIF:1342447,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602475,"Xylocopa micans Lepeletier, 1847",GBIF:1342448,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602454,"Xylocopa micans Lepeletier, 1848",GBIF:1342449,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
LACM ENT 602451,"Xylocopa micans Lepeletier, 1849",GBIF:1342450,male,individual,body size,volume,NA,whole body excluding wings,NA,cubic millimeters
